Hampden-Sydney College,79,
Millsaps College,79,
Asbury University,79,
University of Nebraska-Lincoln,79,
Saint Joseph's University,79,
Oglethorpe University,79,
Seattle Pacific University,79,
University of Kansas,79,
Wesleyan College,79,
Maryville College,79,
Eastern Mennonite University,79,
Cedar Crest College,79,
Widener University,79,
Oklahoma State University-Main Campus,79,
Edgewood College,79,
Muskingum University,79,
Cairn University-Langhorne,79,
Wilberforce University,79,
Northland College,79,
North Carolina Wesleyan College,79,
Mount Mercy University,79,
Clarke University,79,
University of Washington-Tacoma Campus,79,
Caldwell University,79,
University of California-Berkeley,78,
University of Maryland-College Park,78,
Saint Louis University,78,
LeTourneau University,78,
Florida Southern College,78,
University of Dayton,78,
Simmons College,78,
John Brown University,78,
University of Mississippi,78,
Taylor University,78,
Transylvania University,78,
Catawba College,78,
Roberts Wesleyan College,78,
St Bonaventure University,78,
Marywood University,78,
Benedictine College,78,
Trinity Christian College,78,
Hood College,78,
Rider University,78,
Elmhurst College,78,
University of New Hampshire-Main Campus,78,
University of Mount Union,78,
University of Washington-Bothell Campus,78,
Hardin-Simmons University,78,
Saint Martin's University,78,
Lenoir-Rhyne University,78,
Wagner College,78,
University of Minnesota-Twin Cities,77,
University of Wisconsin-Madison,77,
University of Georgia,77,
University of Oklahoma-Norman Campus,77,
Siena College,77,
Calvin College,77,
University of North Carolina at Asheville,77,
University of Puget Sound,77,
Trinity International University-Illinois,77,
Stetson University,77,
LIU Post,77,
Western Michigan University,77,
Randolph College,77,
Mars Hill University,77,
Montreat College,77,
Prairie View A & M University,76,
Sarah Lawrence College,76,
Texas A & M University-College Station,76,
Drake University,76,
Montana State University,76,
Meredith College,76,
Dominican University,76,
Alma College,76,
Point Park University,76,
University of St Thomas,76,
Saint Mary's University of Minnesota,76,
Robert Morris University,76,
Gordon College,76,
Fayetteville State University,76,
King's College,76,
Pepperdine University,75,
Ohio State University-Main Campus,75,
College of the Ozarks,75,
Ave Maria University,75,
Colorado State University-Fort Collins,75,
California Institute of the Arts,75,
Tougaloo College,75,
Mount St Mary's University,75,
Union College (NE),75,
Springfield College,75,
Roosevelt University,75,
Gannon University,75,
Western New England University,75,
Queens University of Charlotte,75,
Carlow University,75,
Piedmont College,75,
University of San Diego,74,
William Jewell College,74,
University of Minnesota-Morris,74,
Lawrence Technological University,74,
Duquesne University,74,
Messiah College,74,
Birmingham Southern College,74,
Mississippi College,74,
St John's University-New York,74,
Saint John Fisher College,74,
Prescott College,74,
Lyon College,74,
Wilkes University,74,
Thomas More College,74,
Northern Kentucky University,74,
Emmanuel College,73,
Seattle University,73,
University of Alabama in Huntsville,73,
Rockford University,73,
Centenary College of Louisiana,73,
DeSales University,73,
La Salle University,73,
Saint Mary's College of California,73,
University of Indianapolis,73,
Seton Hill University,73,
Chapman University,72,
The New School,72,
University of Portland,72,
California Lutheran University,72,
Marlboro College,72,
Rowan University,72,
Saint Edward's University,72,
St Mary's College of Maryland,72,
Samford University,72,
Marist College,72,
Belhaven University,72,
Cornerstone University,72,
William Jessup University,72,
Illinois State University,72,
Huntington University,72,
University of Mount Olive,72,
Assumption College,72,
Texas Christian University,71,
Rose-Hulman Institute of Technology,71,
The University of Texas at Dallas,71,
Champlain College,71,
University of Scranton,71,
Corban University,71,
Columbia International University,71,
University of La Verne,71,
Concordia University-Irvine,71,
St. Joseph's College-New York,71,
Evangel University,71,
The Master's University and Seminary,71,
Pace University-New York,71,
Franklin College,71,
The New England Conservatory of Music,70,
SUNY at Binghamton,70,
SUNY at Stony Brook ,70,
SUNY College of Environmental Science and Forestry,70,
Bradley University,70,
Arizona State University-Tempe,70,
Martin Luther College,70,
University of Iowa,70,
Houston Baptist University,70,
Texas Wesleyan University,70,
University of Jamestown,70,
University of Wisconsin-La Crosse,70,
Monmouth University,70,
Dominican University of California,70,
Arizona State University-West,70,
University of Hawaii at Manoa,70,
Brenau University,70,
Adrian College,70,
Manhattanville College,70,
Truett McConnell University,70,
Baylor University,69,
University of Vermont,69,
The Kings College,69,
Webster University,69,
Abilene Christian University,69,
Hofstra University,69,
Indiana University-Bloomington,69,
Stevenson University,69,
Salve Regina University,69,
University of Alaska Anchorage,69,
Wingate University,69,
The University of Texas at Austin,68,
University of Illinois at Urbana-Champaign,68,
Temple University,68,
Texas Tech University,68,
Appalachian State University,68,
Xavier University,68,
University of Cincinnati-Main Campus,68,
Minneapolis College of Art and Design,68,
Mount Vernon Nazarene University,68,
University of Arizona,68,
Palm Beach Atlantic University,68,
Pfeiffer University,68,
Lees-McRae College,68,
Rhode Island School of Design,67,
Lipscomb University,67,
Louisiana State University and Agricultural & Mechanical College (LSU),67,
Franciscan University of Steubenville,67,
SUNY Cortland,67,
North Carolina A & T State University,67,
Avila University,67,
University of New Orleans,67,
Saint Francis University,67,
University of Hartford,67,
Quinnipiac University,67,
The University of Montana,67,
Warner Pacific College,67,
University of Wisconsin-Stevens Point,67,
Eastern Oregon University,67,
University of Utah,66,
Lubbock Christian University,66,
University of Wisconsin-Parkside,66,
Kettering College,66,
Colorado School of Mines,65,
Hillsdale College,65,
